Type,Label,ParentType,LabelParentType
Waterfall,Cascade,NaturalHeritage,Site naturel
Visit,Visite,Product,Produit
Velodrome,Vélodrome,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
ViaFerrata,Via ferrata,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
VivariumAquarium,Vivarium - Aquarium,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
WashHouse,Lavoir,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
WalkingTour,Itinéraire pédestre,Tour,Itinéraire touristique
VolunteerTourGuideOrGreeter,Hôte bénévole, greeter,TouristInformationCenter,Service d'information touristique
Fort,Fort,DefenceSite,Site de défense
FortifiedCastle,Château fort,DefenceSite,Site de défense
FortifiedSet,Ensemble fortifié,DefenceSite,Site de défense
Forest,Forêt,NaturalHeritage,Site naturel
FreePractice,Pratique libre,Practice,Pratique
Fountain,Fontaine,RemarkableBuilding,Bâtiment civil remarquable
FrontonBelotaCourt,Fronton, mur de frappe,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Game,Jeu, concours,SportsEvent,Évènement sports et loisirs
Forge,Forge,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
FoodEstablishmentTheme,Thème de restauration,Theme,Thème
FoodProduct,Type de mêts,Theme,Thème
Bungalow,Bungalow, Mobil Home,AccommodationProduct,Produit d'hébergement
Bungatoile,Bungatoile,AccommodationProduct,Produit d'hébergement
CamperVanArea,Aire de camping-car,CampingAndCaravanning,Hôtellerie de plein air
Camping,Camping,CampingAndCaravanning,Hôtellerie de plein air
Festival,Festival,CulturalEvent,Évènement culturel
BusinessEvent,Evènement professionnel d'entreprise,EntertainmentAndEvent,Fête et manifestation
CafeOrTeahouse,Café ou salon de thé,FoodEstablishment,Restauration
FastFoodRestaurant,Restauration Rapide,FoodEstablishment,Restauration
BusinessPlace,Site d'affaires,PlaceOfInterest,Lieu
FoodEstablishment,Restauration,PlaceOfInterest,Lieu
FirstPractice,Baptême sportif,Practice,Pratique
BuddhistTemple,Temple bouddhique,ReligiousSite,Site religieux
Calvary,Calvaire et enclos paroissiaux,ReligiousSite,Site religieux
Cabaret,Cabaret,Restaurant,Restaurant
FarmhouseInn,Ferme et auberge de campagne,Restaurant,Restaurant
Seminar,Séminaire,BusinessEvent,Evènement professionnel d'entreprise
SpaResort,Station thermale,CityHeritage,Ville et village
ShowEvent,Spectacle,CulturalEvent,Évènement culturel
SocialEvent,Evènement social,EntertainmentAndEvent,Fête et manifestation
Spa,Etablissement thermal,MedicalPlace,Lieu de santé
Source,Source,NaturalHeritage,Site naturel
ServiceProvider,Prestataire de service,PlaceOfInterest,Lieu
SelfCateringAccommodation,Meublés de tourisme,RentalAccommodation,Hébergement locatif
SelfServiceCafeteria,Cafétéria - Self,Restaurant,Restaurant
SightseeingBoat,Bateau promenade,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
ShoppingCentreAndGallery,Centre et galerie commerciale,Store,Commerce de détail
Seaport,Port maritime,Transport,Transport
CampingAndCaravanning,Hôtellerie de plein air,Accommodation,Hébergement
CampingCar,Camping car,AccommodationProduct,Produit d'hébergement
CampingPitch,Emplacement de camping,AccommodationProduct,Produit d'hébergement
Caravan,Caravane,AccommodationProduct,Produit d'hébergement
Congress,Congrès,BusinessEvent,Evènement professionnel d'entreprise
ConventionCentre,Centre de congrès,BusinessPlace,Site d'affaires
Concert,Concert,CulturalEvent,Évènement culturel
Conference,Conférence,CulturalEvent,Évènement culturel
ConeNeck,Cône,NaturalHeritage,Site naturel
Crest,Crête,NaturalHeritage,Site naturel
ConvenientService,Service pratique,PlaceOfInterest,Lieu
Course,Cours,Practice,Pratique
Convent,Couvent,ReligiousSite,Site religieux
CraftsmanShop,Artisan d'art,Store,Commerce de détail
Cooperative,Coopérative,TastingProvider,Fournisseur de dégustation
CoveredMarket,Halle, marché couvert,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
CollectiveAccommodation,Hébergement collectif,Accommodation,Hébergement
CommonAmenity,Équipement et service basique,Amenity,Équipement et service
ClubOrHolidayVillage,Club et village vacances,CollectiveAccommodation,Hébergement collectif
PublicLavatories,Toilettes publiques,ConvenientService,Service pratique
PointOfView,Point de vue,NaturalHeritage,Site naturel
Pond,Etang,NaturalHeritage,Site naturel
Product,Produit,PointOfInterest,Point d'intérêt
Practice,Pratique,Product,Produit
Racetrack,Hippodrome,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
RacingCircuit,Circuit automobile ou moto,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Producer,Producteur,TastingProvider,Fournisseur de dégustation
ProducersGroup,Groupement de producteurs,TastingProvider,Fournisseur de dégustation
ProfessionalTourGuide,Guide professionnel,TouristInformationCenter,Service d'information touristique
ThalassotherapyCentre,Centre de thalassothérapie,MedicalPlace,Lieu de santé
Tour,Itinéraire touristique,PointOfInterest,Point d'intérêt
TennisComplex,Complèxe ou terrain de tennis,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TerrainPark,Terrain park,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Theater,Théatre, Salle de spectacle,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
ThemePark,Parc de loisirs, parc à thème,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TobogganBobsleigh,Piste de luge / bobsleigh,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TouristInformationCenter,Service d'information touristique,PlaceOfInterest,Lieu
Tower,Tour,RemarkableBuilding,Bâtiment civil remarquable
TourismCableCar,Téléphérique touristique,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TouristBus,Bus touristique,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TouristTrain,Train touristique,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TrackRollerOrSkateBoard,Piste de roller ou de skate board,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TourGuideAgency,Agence de guides,TouristInformationCenter,Service d'information touristique
TourismCentre,Maison du tourisme,TouristInformationCenter,Service d'information touristique
TourOperatorOrTravelAgency,Voyagiste,TouristInformationCenter,Service d'information touristique
Apartment,Appartement,AccommodationProduct,Produit d'hébergement
ATM,Distributeur automatique de billets, DAB,ConvenientService,Service pratique
ArtistSigning,Dédicace et rencontre d'artiste,CulturalEvent,Évènement culturel
ArcheologicalSite,Site archéologique,CulturalSite,Site culturel
Bakery,Boulangerie,FoodEstablishment,Restauration
AlpinePasture,Alpage,NaturalHeritage,Site naturel
Aqueduct,Aqueduc,RemarkableBuilding,Bâtiment civil remarquable
Arena,Arène,RemarkableBuilding,Bâtiment civil remarquable
Auditorium,Auditorium,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
AntiqueAndSecondhandGoodDealer,Antiquaire et brocanteur,Store,Commerce de détail
ArtGalleryOrExhibitionGallery,Galerie d'art, galerie d'exposition,Store,Commerce de détail
ArchitecturalStyle,Style architectural,Theme,Thème
CityHeritage,Ville et village,CulturalSite,Site culturel
CastleAndPrestigeMansion,Château et demeure de prestige,AccommodationProduct,Produit d'hébergement
CateringAmenity,Équipement et service de restauration,Amenity,Équipement et service
CateringFeatureSpecification,Spécification d'équipement de restauration,FeatureSpecification,Spécification d'équipement et service
Cellar,Cave ou caveau,FoodEstablishment,Restauration
Causse,Causse,NaturalHeritage,Site naturel
CaveSinkholeOrAven,Grotte, gouffre, aven, caverne, carrière,NaturalHeritage,Site naturel
CateringPricingOffer,Prestation tarifée de restauration,PricingOffer,Prestation tarifée
Cathedral,Cathédrale,ReligiousSite,Site religieux
Castle,Château,RemarkableBuilding,Bâtiment civil remarquable
Casino,Casino,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
CarpoolArea,Aire de covoiturage,Transport,Transport
FairOrShow,Foire ou salon,SaleEvent,Evènement commercial
FitnessCenter,Centre de remise en forme - fitness,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
FitnessPath,Parcours de Santé,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Farmer,Éleveur,TastingProvider,Fournisseur de dégustation
Farm,Ferme,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
FluvialTour,Itinéraire fluvial ou maritime,Tour,Itinéraire touristique
BusStation,Gare routière,Transport,Transport
BusStop,Arrêt, station de transport en commun,Transport,Transport
CableCarStation,Téléphérique,Transport,Transport
Stadium,Stade,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
StopOverOrGroupLodge,Refuge et gîte d'étape,CollectiveAccommodation,Hébergement collectif
StreetFood,Restauration ambulante, Food truck,FoodEstablishment,Restauration
Stone,Pierre, rocher,NaturalHeritage,Site naturel
Stream,Ruisseau,NaturalHeritage,Site naturel
StubbleFields,Chaumes,NaturalHeritage,Site naturel
Summit,Sommet,NaturalHeritage,Site naturel
Swamp,Marais,NaturalHeritage,Site naturel
Store,Commerce de détail,PlaceOfInterest,Lieu
SummerToboggan,Piste de luge d'été,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Bubble,Bulle,AccommodationProduct,Produit d'hébergement
BoardMeeting,Conseil d'administration,BusinessEvent,Evènement professionnel d'entreprise
Bocage,Bocage,NaturalHeritage,Site naturel
Bog,Tourbière,NaturalHeritage,Site naturel
Bridge,Pont,RemarkableBuilding,Bâtiment civil remarquable
BoatRestaurant,Bateau-restaurant,Restaurant,Restaurant
BrasserieOrTavern,Brasserie ou taverne,Restaurant,Restaurant
BricABrac,Brocante,SaleEvent,Evènement commercial
BoulesPitch,Boulodrome,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
BowlingAlley,Bowling,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
BoutiqueOrLocalShop,Boutique, commerce de proximité,Store,Commerce de détail
Brewery,Brasseur,TastingProvider,Fournisseur de dégustation
Reading,Lecture,CulturalEvent,Évènement culturel
Recital,Récital,CulturalEvent,Évènement culturel
ReligiousSite,Site religieux,CulturalSite,Site culturel
RemarkableBuilding,Bâtiment civil remarquable,CulturalSite,Site culturel
RecurrentPeriod,Période récurrente,Period,Période
RemarkableHouse,Maison remarquable,RemarkableBuilding,Bâtiment civil remarquable
ReligiousEvent,Évènement religieux,SocialEvent,Evènement social
Rally,Rallye,SportsEvent,Évènement sports et loisirs
Rambling,Randonnée, balade,SportsEvent,Évènement sports et loisirs
RegionalTourismCommittee,Comité régional du tourisme,TouristInformationCenter,Service d'information touristique
ExecutiveBoardMeeting,Bureau éxécutif,BusinessEvent,Evènement professionnel d'entreprise
ElectricVehicleChargingPoint,Borne de charge véhicule électrique,ConvenientService,Service pratique
Exhibition,Exposition,CulturalEvent,Évènement culturel
EntertainmentAndEvent,Fête et manifestation,PointOfInterest,Point d'intérêt
EquipmentRental,Location de matériel,Rental,Location
EquipmentRentalShop,Loueur de matériel,ServiceProvider,Prestataire de service
EquipmentRepairShop,Réparateur de matériel,ServiceProvider,Prestataire de service
EducationalTrail,Sentier de découverte et d'interprétation,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
EquestrianCenter,Centre équestre,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
EntertainmentAndEventTheme,Thème de fête et évènement,Theme,Thème
SportsEvent,Évènement sports et loisirs,EntertainmentAndEvent,Fête et manifestation
SportsAndLeisurePlace,Site sportif, récréatif et de loisirs,PlaceOfInterest,Lieu
SportsClub,Club de sport,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
SportsHall,Palais des sports,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
SquashCourt,Salle de squash,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
SportsCompetition,Compétition sportive,SportsEvent,Évènement sports et loisirs
SportsDemonstration,Démonstration sportive,SportsEvent,Évènement sports et loisirs
Stables,Haras,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
SpatialEnvironmentTheme,Thème d'environnement de POI,Theme,Thème
SportsTheme,Thèmes d’activité et évènements sport et loisirs,Theme,Thème
CampingAndCaravanningAmenity,Équipement et service d'hôtellerie de plein air,Amenity,Équipement et service
CarOrBikeWash,Station de lavage,ConvenientService,Service pratique
CampingAndCaravanningFeatureSpecification,Spécification d'équipement d'hôtellrie de plein air,FeatureSpecification,Spécification d'équipement et service
Canal,Canal,NaturalHeritage,Site naturel
Canyon,Canyon,NaturalHeritage,Site naturel
Carnival,Carnaval,SocialEvent,Evènement social
Ruins,Ruines et vestiges,ArcheologicalSite,Site archéologique
RVServiceArea,Borne de service camping car,ConvenientService,Service pratique
ScreeningEvent,Projection, cinéma,CulturalEvent,Évènement culturel
SaleEvent,Evènement commercial,EntertainmentAndEvent,Fête et manifestation
ScaleRating,Note,Rating,Valeur de classement
ScaleReview,Classement par note,Review,Classement
ScaleReviewSystem,Système de classement par note,ReviewSystem,Système de classement
HotelTrade,Hôtellerie,Accommodation,Hébergement
HotelSuite,Suite,AccommodationProduct,Produit d'hébergement
House,Maison,AccommodationProduct,Produit d'hébergement
HouseBoat,Bâteau habitable,AccommodationProduct,Produit d'hébergement
Hut,Cabane,AccommodationProduct,Produit d'hébergement
InformativeAmenity,Équipement et service d'information,Amenity,Équipement et service
IceCreamShop,Glacier,FoodEstablishment,Restauration
Icefall,Cascade de glace,NaturalHeritage,Site naturel
IceSkatingRink,Patinoire,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
HypermarketAndSupermarket,Grande et moyenne surface,Store,Commerce de détail
IndustrialSite,Site industriel,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
IncomingTravelAgency,Organisme réceptif,TouristInformationCenter,Service d'information touristique
HolidayCentre,Centre de vacances et de loisirs,CollectiveAccommodation,Hébergement collectif
HolidayResort,Résidence de tourisme,CollectiveAccommodation,Hébergement collectif
Harvest,Vendange, récolte,CulturalEvent,Évènement culturel
HotelRestaurant,Hôtel-restaurant,Hotel,Hôtel
Hotel,Hôtel,HotelTrade,Hôtellerie
HealthcarePlace,Lieu de soins,MedicalPlace,Lieu de santé
HealthcareProfessional,Professionnel de santé,MedicalPlace,Lieu de santé
Hillsides,Côteau,NaturalHeritage,Site naturel
Temple,Temple,ReligiousSite,Site religieux
HotelRestaurant,Hôtel-restaurant,Restaurant,Restaurant
Hammam,Hammam,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
HealthTheme,Thème de santé,Theme,Thème
HorseTour,Itinéraire équestre,Tour,Itinéraire touristique
TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique,CulturalSite,Site culturel
TastingFeatureSpecification,Spécification d'équipement de dégustation,FeatureSpecification,Spécification d'équipement et service
TableHoteGuesthouse,Chambre et table d'hôtes,Guesthouse,Chambre d'hôtes
TableHotes,Table d'hôtes,Guesthouse,Chambre d'hôtes
TastingProvider,Fournisseur de dégustation,PlaceOfInterest,Lieu
Tasting,Dégustation,Practice,Pratique
Synagogue,Synagogue,ReligiousSite,Site religieux
TaxiCompany,Compagnie de taxis,ServiceProvider,Prestataire de service
SwimmingPool,Piscine,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TeachingFarm,Ferme pédagogique,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
TaxiStation,Aire, station de taxis,Transport,Transport
SchoolOrTrainingCentre,Ecole et centre d'apprentissage,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
RouteTheme,Nom d'itinéraire,Theme,Thème
LeisureChalet,Chalet résidentiel de loisirs,AccommodationProduct,Produit d'hébergement
LeisureSportActivityProvider,Prestataire d'activité sportive et de loisir,ActivityProvider,Prestataire d'activité
LeftLuggage,Consigne à bagages,ConvenientService,Service pratique
Library,Bibliothèque - Médiathèque,CulturalSite,Site culturel
Lake,Lac,NaturalHeritage,Site naturel
Landes,Landes,NaturalHeritage,Site naturel
LimitedPeriod,Période limitée,Period,Période
LevyOrDike,Barrage, digue,RemarkableBuilding,Bâtiment civil remarquable
LabelReviewSystem,Système de classement par label,ReviewSystem,Système de classement
LocalAnimation,Animation locale,SocialEvent,Evènement social
LaunchingRamp,Rampe de mise à l'eau,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
LeisureComplex,Complexe de loisirs (loisirs regroupés),SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Lighthouse,Phare,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
InformativeFeatureSpecification,Spécification d'équipement d'information,CommonFeatureSpecification,Spécification d'équipement commun
InterpretationCentre,Centre d'interprétation,CulturalSite,Site culturel
IslandPeninsula,Ile - presqu'île,NaturalHeritage,Site naturel
IntroductionCourse,Stage d'initiation,Practice,Pratique
LabelRating,Label,Rating,Valeur de classement
LabelReview,Classement par label,Review,Classement
Jetty,Embarcadère,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
KidsClub,Club enfants,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
MegalithDolmenMenhir,Mégalithes, menhirs et dolmens,ArcheologicalSite,Site archéologique
MedicalPlace,Lieu de santé,PlaceOfInterest,Lieu
Lock,Ecluse,RemarkableBuilding,Bâtiment civil remarquable
MilitaryCemetery,Cimetière militaire et mémorial,RemembranceSite,Lieu de mémoire
Market,Marché,SaleEvent,Evènement commercial
Marina,Port de plaisance,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
LocalProductsShop,Maison de pays, produits du terroir,Store,Commerce de détail
Mill,Moulin,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
Mine,Mine,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
LocalTouristOffice,Office de tourisme,TouristInformationCenter,Service d'information touristique
Lock,Ecluse,Transport,Transport
MountainResort,Station de montagne,CityHeritage,Ville et village
Museum,Musée,CulturalSite,Site culturel
Mountain,Montagne,NaturalHeritage,Site naturel
NaturalCuriosity,Curiosité naturelle,NaturalHeritage,Site naturel
NaturalHeritage,Site naturel,PlaceOfInterest,Lieu
MultiActivity,Multiactivités,Practice,Pratique
Monastery,Monastère, prieuré,ReligiousSite,Site religieux
Mosque,Mosquée,ReligiousSite,Site religieux
MountainRestaurant,Restaurant d'altitude / Restaurant d'alpage,Restaurant,Restaurant
MTBRouteTheme,Itinéraire VTT,RouteTheme,Nom d'itinéraire
MiniGolf,Mini golf,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
MooringArea,Zone ou port de mouillage,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
MultiPurposeRoomOrCommunityRoom,Salle polyvalente, salle des fêtes,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
NaturalHeritageAmenity,Équipement et service de patrimoine naturel,Amenity,Équipement et service
Opera,Opéra,CulturalEvent,Évènement culturel
NaturalHeritageFeatureSpecification,Spécification d'équipement de patrimoine naturel,FeatureSpecification,Spécification d'équipement et service
NaturalPark,Parc naturel,NaturalHeritage,Site naturel
NonHousingRealEstateRental,Location de salle,Rental,Location
OpenDay,Portes ouvertes,SaleEvent,Evènement commercial
NauticalCentre,Base nautique / centre nautique,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
NightClub,Discothèque,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Organisation,Organisation,Agent,Agent
Person,Personne,Agent,Agent
PeopleAudience,Audience de personnes, clients,Audience,Audience
ParkAndGarden,Parc et jardin,CulturalSite,Site culturel
Peak,Pic,NaturalHeritage,Site naturel
Palace,Palais,RemarkableBuilding,Bâtiment civil remarquable
Parade,Défilé Cortège Parade,SocialEvent,Evènement social
Orchard,Verger conservatoire,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
